Longitude,Latitude
-120,38
-119.6077,36.81528
-118.646591,34.123232
-118.581109,34.041958
-117.782534,33.872178
-117.5093,34.0174
-117.241013,32.671487
-117.201667,36.101111
-116.718889,33.733333
-116.44123,34.19489
-116.319426,33.660279
-116,35
-116,36
-115,35
-115,37
-115,36
-114.87722,35.29666
-114.535,33.606
-114.51023,34.1189
-114.40813,36.47282
-114.4,32.68
-114.2923,35.026
-114,37
-113.647,37.2536
-113.57,37.104
-113.36,37.25
-113,37
-112.94,37.39
-112.85,34.256667
-112.85,34.1625
-112.7647,34.1556
-112.673333,34.353889
-112.4531,34.7575
-112.1903,35.24944
-112.1131,34.74889
-112.02655,34.73197
-112.023055,34.778612
-111.762098,34.64796
-111.728,34.907
-111.6825,35.34083
-111.603889,31.973889
-111.595,31.77111
-111.571111,31.998889
-111.519167,31.756667
-111.4561,31.86583
-111.426,35.6927
-111.325,32.57611
-111.313056,33.872222
-111.26641,25.65522
-111.168799,32.243077
-111.1037,33.2878
-111.0895,31.3938
-111.023223,32.279191
-111,38
-110.96232,30.62705
-110.96133,28.95548
-110.941944,31.741111
-110.932571,32.225686
-110.9291,31.91361
-110.926389,32.221667
-110.925833,32.221667
-110.9258,32.22167
-110.9206,32.5
-110.92,32.22
-110.8796,31.7283
-110.8744,31.7267
-110.869444,31.9575
-110.8419,33.4111
-110.8155,31.7945
-110.8155,31.8017
-110.81,32.32
-110.786865,31.797808
-110.774722,31.825917
-110.7636,31.3678
-110.7595,32.4513
-110.7556,31.5394
-110.7089,32.5408
-110.6833,31.47784
-110.65,31.67
-110.576667,33.666667
-110.566667,31.713056
-110.5659,33.21017
-110.4497,31.4408
-110.3791,31.96778
-110.327222,29.497222
-110.3167,31.49
-110.31,24.1446
-110.2989,31.9697
-110.2874,31.3547
-110.283287,33.988872
-110.2361,31.4294
-110.230506,31.905567
-110.225,33.73889
-110.10167,31.43433
-110.0972,31.3944
-110.0916,31.3782
-110.016389,29.635278
-109.8654,32.6597
-109.8625,33.178611
-109.832,32.1953
-109.8314,32.25278
-109.831389,32.223611
-109.831389,32.252778
-109.821556,33.954722
-109.817778,31.998611
-109.7918,31.9429
-109.772861,32.239139
-109.763,32.252778
-109.7308,31.9327
-109.7185,32.8346
-109.71,28.47
-109.686944,31.711111
-109.600833,32.057583
-109.588611,32.047306
-109.5548,32.9404
-109.544722,31.344444
-109.527778,31.344444
-109.451944,31.744444
-109.4508,32.1653
-109.429167,31.752778
-109.38335,31.86629
-109.358056,31.976111
-109.353889,31.483333
-109.3529,31.508
-109.338056,31.493056
-109.315,31.963056
-109.3094,35.81389
-109.2876,31.55739
-109.2791,31.9118
-109.278056,31.548889
-109.27778,31.32222
-109.27278,31.33902
-109.2708,31.9334
-109.268889,31.915
-109.26863,31.31588
-109.26861,31.32389
-109.26861,31.31583
-109.26667,31.32556
-109.26553,31.32907
-109.26528,31.33333
-109.265,31.325
-109.261,31.8622
-109.25972,31.33333
-109.25597,31.32155
-109.25333,31.33297
-109.25222,31.33417
-109.250861,31.909556
-109.25028,31.31389
-109.24167,31.31528
-109.24,31.59222
-109.2392,31.31445
-109.2372,31.334
-109.23325,31.33423
-109.228,32.2865
-109.226944,32.195278
-109.226944,32.151944
-109.21,31.33056
-109.208944,31.913611
-109.2082,31.9634
-109.206111,31.8825
-109.191972,31.638889
-109.185556,31.872889
-109.184139,31.934722
-109.178639,31.879417
-109.178056,32.078056
-109.148,31.9135
-109.141,32.0243
-109.140833,31.956944
-109.1408,31.9136
-109.139667,31.443083
-109.1317,36.96698
-109.1317,31.6903
-109.131667,31.690278
-109.1279,31.914
-109.116722,31.934056
-109.111111,31.938889
-109.1047,32.72139
-109.0982,31.9001
-109.098056,31.9
-109.0854,31.6413
-109.081972,31.7635
-109.066111,31.881111
-109.0642,31.8968
-109.043461,31.819597
-109.043056,31.871111
-109.041111,32.059722
-109.035417,31.870278
-109.033333,31.849778
-109.03116,31.83537
-109.031111,32.023972
-109.003,31.517889
-109.0013,31.27758
-109,32
-108.9932,31.31093
-108.981944,31.519444
-108.973056,32.088611
-108.97,35
-108.921667,27.026667
-108.918889,33.453056
-108.876111,31.526111
-108.875333,31.542361
-108.874472,31.565833
-108.871944,31.496944
-108.84925,31.646389
-108.8435,31.660528
-108.822028,31.716833
-108.8067,32.16574
-108.758889,33.396944
-108.464722,31.948333
-108.45177,32.51691
-108.125,30.944722
-107.71285,32.80991
-106.8003,32.2701
-106.7778,32.31222
-106.742117,32.826343
-106.704061,35.156404
-106.696667,32.164444
-106.466667,31.35
-106.366667,28.35
-106.083333,29.548889
-105.99,26.416389
-105.9372,35.68694
-105.896111,28.468889
-105.802028,26.834361
-105.471605,28.273117
-105.471582,28.273046
-105.471111,28.193333
-105.183333,27.816667
-105.1784,35.6971
-105,32
-104.85,29.565833
-104.7602,31.9938
-104.736667,29.566389
-104.6485,21.2749
-104.631944,26.877778
-104.466667,24.8
-104.34041,26.82995
-104.3281,33.59222
-104.233333,23.85
-104.0691,29.344
-104.05986,32.31213
-104,32
-103.988889,24.433333
-103.9605265,26.56918372
-103.93442,30.59642
-103.9012,29.3283
-103.89527,29.4268
-103.8948689,30.58836253
-103.85,25.81667
-103.8111,30.5165
-103.7862,32.3567
-103.783333,25.1
-103.7410768,26.68056935
-103.728662,25.869187
-103.696389,24.871111
-103.666667,25.45
-103.61213,29.16548
-103.6104,29.167
-103.6,26.683333
-103.594915,31.13032
-103.514333,29.13325
-103.4934639,31.4230379
-103.37,29.33
-103.3339,34.18611
-103.256944,29.333889
-103.25,29.25
-103.25,23.583333
-103.24426,29.53092
-103.21,29.28
-103.20596,29.3284
-103.03043,23.82689
-102.8795738,30.60388644
-102.8259306,33.60802735
-102.75,26.133333
-102.64542,30.14198
-102.6340502,32.73353263
-102.3515914,34.06761715
-102.3507457,33.1668416
-102.35,33.6
-102.2755,30.04
-102.166667,26.65
-102.13995,32.027484
-102.133333,25.633333
-102.0867,26.8887
-102.0634,26.9714
-102.0632,26.9712
-102.0581,26.9528
-102.0457,26.9178
-102.0301751,20.34389906
-102.01813,26.87167
-102.01695,26.80562
-101.961809,33.678462
-101.96105,33.597357
-101.9512329,32.73769546
-101.95,32.73333
-101.94768,32.74253
-101.937256,33.549572
-101.931053,33.749586
-101.918764,33.446499
-101.89521,33.539965
-101.88289,26.96613
-101.858678,33.599314
-101.8340351,33.60015192
-101.834028,34.06680944
-101.82509,33.16207
-101.7522,37.98056
-101.6622392,34.94339779
-101.52183,34.20257
-101.45033,30.76657
-101.3006214,33.60015419
-101.2985389,33.17764581
-101.2375,33.66
-101.1805,27.60875
-101.17306,29.68417
-101.0838949,29.83372907
-101.066667,30.683333
-100.818022,25.230689
-100.8167,23.0993
-100.8131,29.36247
-100.8120319,30.55606648
-100.7673078,33.61682597
-100.721208,25.063467
-100.709,29.1989
-100.6431,30.5667
-100.623611,28.947778
-100.613111,25.284686
-100.59062,30.015
-100.5374646,30.49749945
-100.527355,25.385342
-100.4758635,30.56701745
-100.39017,30.56643
-100.316944,24.861389
-100.284317,25.694029
-100.1171,29.2094
-99.86048,28.52211
-99.85748763,32.42024317
-99.7863208,29.50027524
-99.7858,29.2817
-99.7328,32.4486
-99.720056,28.55625
-99.7122,29.495
-99.7122,29.3793
-99.56705,22.44681
-99.55472,29.96277
-99.513889,28.311944
-99.5072,27.8097
-99.49862639,30.07217726
-99.4261,32.0441
-99.4261,34.4005
-99.4119959,28.32638732
-99.3375,30.07056
-99.33241,30.07011
-99.32922,20.63619
-99.32639,38.87917
-99.29222,37.60278
-99.2443614,30.35816887
-99.2439,30.2997
-99.23254,30.75003
-99.17798167,28.66981605
-99.14045726,30.04761939
-99.14,30.1918
-99.14,30.0472
-99.133333,30.047222
-99.13075953,30.56094275
-99.100463,29.36711228
-98.976,30.2997
-98.92211,30.48312
-98.90517096,29.96791287
-98.86682566,29.04713406
-98.7569,28.7994
-98.70722,31.08383
-98.69575,29.48773
-98.69572,29.48708
-98.6748,30.1073
-98.65,20.3075
-98.65,20.433889
-98.65,20.569444
-98.62375,29.63209
-98.57487,30.54108
-98.570613,34.097871
-98.56807,29.04052
-98.556944,34.664669
-98.55,32.31382
-98.53021,29.553405
-98.530191,29.553376
-98.530175,29.553392
-98.529502,29.554577
-98.528181,29.553963
-98.522375,30.036798
-98.51709877,29.45044155
-98.5137,29.43109
-98.513204,33.912814
-98.51052,29.44132
-98.509457,29.508577
-98.497444,29.457778
-98.496423,29.392477
-98.49374807,29.42433251
-98.49363,29.42412
-98.49333,29.42389
-98.491472,29.434139
-98.491028,29.408892
-98.488805,29.439922
-98.488691,29.439747
-98.486217,29.870603
-98.457919,29.4587
-98.457692,29.457836
-98.43264618,29.34683535
-98.425881,30.10407
-98.419,29.787
-98.4117,30.2767
-98.38263109,26.17346084
-98.381944,26.164444
-98.299722,26.221667
-98.2769,29.2523
-98.26549,26.20047
-98.265,26.20013
-98.25983164,27.02546885
-98.23011748,26.20374018
-98.227325,32.999242
-98.21319,30.52691
-98.191039,29.865912
-98.17886,30.157261
-98.178517,30.157113
-98.1577125,30.04895288
-98.148344,30.27342
-98.14539485,26.07041562
-98.14428057,27.44513366
-98.122994,29.753475
-98.081111,27.647222
-98.080106,30.203869
-98.076357,30.618377
-98.06707619,29.16713276
-98.02145,32.35695
-97.978477,30.496395
-97.95716,26.09227
-97.94229,26.15951
-97.916542,30.069808
-97.90615534,31.98528322
-97.873775,30.18552
-97.870767,30.228047
-97.86618,30.63251
-97.8625,28.0635
-97.85620373,27.51615203
-97.85620221,27.15308544
-97.856111,27.515556
-97.814073,30.692007
-97.808244,30.158735
-97.79039,27.11265
-97.78927084,27.22200311
-97.781941,30.229404
-97.776944,26.451944
-97.776702,30.270665
-97.774662,30.271956
-97.774652,30.271838
-97.7717,27.9542
-97.763014,30.454049
-97.74317303,30.26733719
-97.74306,30.26715
-97.7428,30.2669
-97.736127,30.430132
-97.724763,26.199243
-97.7234,30.3575
-97.710171,31.890197
-97.699753,30.509191
-97.682672,30.313492
-97.682456,30.313778
-97.682406,30.313686
-97.682267,30.3136
-97.6769,30.5602
-97.653467,30.692508
-97.653056,30.235
-97.650471,30.21674
-97.6472,29.6803
-97.646065,30.233767
-97.640787,30.684813
-97.63369913,27.73391482
-97.612227,30.559861
-97.6102,27.5114
-97.5642,29.9272
-97.559238,30.498147
-97.51703743,28.01722497
-97.4972,25.9014
-97.45437,25.9031
-97.4522,29.5014
-97.449101,29.48303
-97.435605,32.668525
-97.43370805,28.65051279
-97.40922383,27.80085313
-97.40917,30.57056
-97.388,28.668
-97.387133,28.65442
-97.37778,36.10552
-97.37139,37.26528
-97.3672,28.865
-97.329219,27.668931
-97.327419,27.668054
-97.327214,27.667269
-97.315,30.11028
-97.275138,32.747858
-97.2375,30.2836
-97.222578,32.851828
-97.219394,27.625788
-97.207508,27.943488
-97.1584,30.05284
-97.15193,29.28775
-97.148441,32.99783
-97.1244,28.6681
-97.123473,32.784585
-97.102404,32.595155
-97.0778,30.0598
-97.067627,33.014313
-97.053974,35.159389
-97.0525,30.31583
-97.046527,33.406906
-97.035653,33.290225
-97.031111,30.185833
-97.027204,32.743385
-97.0188,30.1109
-97.01597,32.311773
-97.015959,32.311777
-97.012149,32.310032
-97.00611,37.44028
-97.00368794,28.80550881
-97.001015,33.234088
-96.97958,33.06209
-96.9767,30.8531
-96.976157,33.060905
-96.966667,30.316667
-96.9631,30.2872
-96.95909,32.497987
-96.95825,30.283333
-96.951649,33.195118
-96.95,30.284
-96.9361,30.1825
-96.923813,37.625626
-96.912801,33.092453
-96.912445,33.148573
-96.911829,33.148448
-96.890644,32.923547
-96.8878,28.7297
-96.854202,32.928925
-96.854142,32.928917
-96.85162,30.71377
-96.809608,32.983706
-96.8008,33.8829
-96.80010064,32.78344394
-96.8,32.783333
-96.8,32.8701
-96.8,32.7833
-96.799645,32.891228
-96.794451,33.075123
-96.785854,33.079961
-96.776071,29.245952
-96.773888,32.95496
-96.7738,32.954957
-96.7725,31.0333
-96.740749,32.829227
-96.726333,33.035356
-96.715095,32.841013
-96.6675,32.431111
-96.659444,39.681944
-96.6458,28.9783
-96.641705,33.093733
-96.633974,33.200032
-96.629843,32.534316
-96.587662,33.058478
-96.576282,33.087608
-96.576134,33.087621
-96.5394,29.7064
-96.53043,33.03502
-96.515556,33.745
-96.50088488,31.03368699
-96.500634,32.613555
-96.49347,30.64282
-96.48521,30.63617
-96.45654,30.746
-96.4356,30.5423
-96.40512,31.05421
-96.39085,30.58153
-96.39085,30.58156
-96.37003996,30.67453873
-96.35883,30.90068
-96.34667,30.38882
-96.34631,30.6105
-96.34306918,30.65360948
-96.33431885,30.62838031
-96.31698857,30.66703914
-96.3138,41.0254
-96.31275,30.6401
-96.3003,41.0242
-96.2952,31.00234
-96.29503,31.00269
-96.29451,31.00147
-96.29318765,30.59495151
-96.28748,30.50414
-96.18191,30.6078
